point,capacitance_fF,unloaded_lc_frequency_GHz,loaded_root_frequency_GHz,loaded_root_linewidth_MHz
baseline,110.0,6.3010045363465865,6.135903847793649,3.670280662141818
selected,120.00000000000001,6.032752549193878,5.8873798866205425,3.110838523128994
